"Chirsutav12","pval","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","X","Athaliana","Chir_length","Ath_length","TF","TF_family","Gene_code_name","Gene_functions","gene_ID"
"Chir04Ox-b25400.22",3.928914e-278,2.202038,0.839,0.191,7.724244e-274,15,"Chir04Ox-b25400.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b25400.22"
"Chir08Ox-b30550.2",3.914429e-64,0.5670989,0.495,0.191,7.695768e-60,15,"Chir08Ox-b30550.2",20551,"AT5G66040",1016,1011,NA,NA,"AT5G66040.1","carboxylic acid metabolic process, chloroplast, cytosol, glucosinolate metabolic process, plastid, response to light intensity, thiosulfate sulfurtransferase activity","Chir08Ox-b30550.2"
"Chir02Ox-b19300.2",2.248375e-81,0.689062,0.533,0.195,4.420304e-77,15,"Chir02Ox-b19300.2",4709,"AT1G72630",1642,1404,NA,NA,"ELF4-L2","entrainment of circadian clock, mitochondrion, nucleus, photoperiodism, positive regulation of circadian rhythm, protein homodimerization activity","Chir02Ox-b19300.2"
"Chir04Ox-b00170.23",1.056398e-92,1.032947,0.587,0.199,2.076878e-88,15,"Chir04Ox-b00170.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b00170.23"
"Chir02Ox-b02980.23",4.452648e-74,2.443542,0.557,0.208,8.753906e-70,15,"Chir02Ox-b02980.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir02Ox-b02980.23"
"Chir01Ox-b09120.21",9.68891e-81,0.684698,0.552,0.212,1.90484e-76,15,"Chir01Ox-b09120.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b09120.21"
"Chir07Ox-b27880.23",4.841609e-75,0.570679,0.571,0.216,9.518603e-71,15,"Chir07Ox-b27880.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b27880.23"
"Chir02Ox-b22110.21",2.014223e-120,0.954895,0.642,0.222,3.959962e-116,15,"Chir02Ox-b22110.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir02Ox-b22110.21"
"Chir06Ox-b12910.21",3.326025e-106,0.8260424,0.626,0.222,6.538965e-102,15,"Chir06Ox-b12910.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b12910.21"
"Chir03Ox-b12440.2",1.047793e-87,0.6588546,0.582,0.225,2.059961e-83,15,"Chir03Ox-b12440.2",6502,"AT3G13190",1844,1869,NA,NA,"MJG19.15","chloroplast accumulation movement, chloroplast avoidance movement, cytoplasm, cytosol, molecular_function","Chir03Ox-b12440.2"
"Chir01Ox-b22760.22",1.047671e-76,0.8036927,0.574,0.232,2.059721e-72,15,"Chir01Ox-b22760.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b22760.22"
"Chir03Ox-b16290.23",9.743502e-59,0.7814943,0.541,0.238,1.915573e-54,15,"Chir03Ox-b16290.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b16290.23"
"Chir07Ox-b30310.21",1.535874e-136,0.9831588,0.694,0.24,3.019527e-132,15,"Chir07Ox-b30310.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b30310.21"
"Chir01Ox-b09360.22",2.154992e-73,0.9933014,0.568,0.241,4.236714e-69,15,"Chir01Ox-b09360.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b09360.22"
"Chir01Ox-b26450.22",5.725384e-96,0.7050172,0.631,0.243,1.125611e-91,15,"Chir01Ox-b26450.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b26450.22"
"Chir08Ox-b22870.23",7.152607e-94,0.871734,0.639,0.253,1.406203e-89,15,"Chir08Ox-b22870.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b22870.23"
"Chir03Ox-b09390.2",6.530862e-73,0.8329485,0.59,0.255,1.283967e-68,15,"Chir03Ox-b09390.2",6235,"AT3G10190",1168,964,NA,NA,"CML36","calcium ion binding, defense response to fungus, protein binding","Chir03Ox-b09390.2"
"Chir03Ox-b12090.22",1.429564e-106,1.076633,0.672,0.261,2.810523e-102,15,"Chir03Ox-b12090.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b12090.22"
"Chir05Ox-b28860.23",1.762637e-78,0.9143308,0.637,0.266,3.465344e-74,15,"Chir05Ox-b28860.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b28860.23"
"Chir03Ox-b12420.23",2.508391e-250,1.822722,0.91,0.285,4.931498e-246,15,"Chir03Ox-b12420.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b12420.23"
"Chir06Ox-b12130.21",6.563601e-70,0.6712355,0.609,0.285,1.290404e-65,15,"Chir06Ox-b12130.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b12130.21"
"Chir01Ox-b38720.2",2.016755e-94,1.024437,0.664,0.295,3.96494e-90,15,"Chir01Ox-b38720.2",3060,"AT1G49750",2799,2159,NA,NA,"AT1G49750.1","chloroplast, nucleus","Chir01Ox-b38720.2"
"Chir05Ox-b08940.21",6.907767e-86,0.8523601,0.653,0.297,1.358067e-81,15,"Chir05Ox-b08940.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b08940.21"
"Chir04Ox-b10950.24",3.377048e-91,1.01702,0.678,0.3,6.639276e-87,15,"Chir04Ox-b10950.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b10950.24"
"Chir02Ox-b21820.21",1.108429e-74,1.020791,0.626,0.301,2.179172e-70,15,"Chir02Ox-b21820.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir02Ox-b21820.21"
"Chir01Ox-b33620.24",6.876493e-121,1.246951,0.784,0.303,1.351918e-116,15,"Chir01Ox-b33620.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b33620.24"
"Chir01Ox-b09350.2",8.261236e-91,0.8938454,0.658,0.303,1.624159e-86,15,"Chir01Ox-b09350.2",788,"AT1G09740",1986,1986,NA,NA,"F21M12.12","biological_process, cellular_component, cytoplasm, molecular_function","Chir01Ox-b09350.2"
"Chir06Ox-b13240.23",3.44624e-163,1.513752,0.852,0.337,6.775307e-159,15,"Chir06Ox-b13240.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b13240.23"
"Chir07Ox-b27160.22",2.358586e-142,1.937397,0.825,0.34,4.636979e-138,15,"Chir07Ox-b27160.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b27160.22"
"Chir05Ox-b20300.22",1.071633e-287,3.825828,0.975,0.342,2.10683e-283,15,"Chir05Ox-b20300.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b20300.22"
"Chir04Ox-b10110.2",1.437995e-100,1.137448,0.732,0.37,2.827099e-96,15,"Chir04Ox-b10110.2",8780,"AT2G28550",2926,2968,"Yes","AP2","RAP2.7","DNA binding, DNA-binding transcription factor activity, negative regulation of gene expression, negative regulation of innate immune response, nucleus, plant organ morphogenesis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, vegetative to reproductive phase transition of meristem","Chir04Ox-b10110.2"
"Chir04Ox-b10970.23",1.536749e-78,1.188419,0.716,0.375,3.021248e-74,15,"Chir04Ox-b10970.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b10970.23"
"Chir04Ox-b13260.24",1.079436e-156,1.54551,0.885,0.386,2.122172e-152,15,"Chir04Ox-b13260.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b13260.24"
"Chir05Ox-b10710.24",5.263592e-134,1.675933,0.885,0.402,1.034822e-129,15,"Chir05Ox-b10710.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b10710.24"
"Chir02Ox-b06460.23",1.263025e-129,1.393107,0.817,0.402,2.483107e-125,15,"Chir02Ox-b06460.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir02Ox-b06460.23"
"Chir01Ox-b04960.23",6.264017e-87,1.296285,0.743,0.406,1.231506e-82,15,"Chir01Ox-b04960.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b04960.23"
"Chir06Ox-b36610.23",1.065561e-213,2.69409,0.962,0.418,2.094893e-209,15,"Chir06Ox-b36610.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b36610.23"
"Chir06Ox-b24600.24",8.111406e-109,1.157655,0.825,0.421,1.594702e-104,15,"Chir06Ox-b24600.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b24600.24"
"Chir07Ox-b35310.22",5.662586e-106,1.643323,0.825,0.448,1.113264e-101,15,"Chir07Ox-b35310.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b35310.22"
"Chir05Ox-b00920.22",3.650095e-81,0.8169243,0.768,0.454,7.176086e-77,15,"Chir05Ox-b00920.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b00920.22"
"Chir05Ox-b15100.21",1.856128e-106,1.054251,0.828,0.478,3.649147e-102,15,"Chir05Ox-b15100.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b15100.21"
"Chir07Ox-b21290.23",9.288654e-79,0.9041422,0.795,0.494,1.826149e-74,15,"Chir07Ox-b21290.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b21290.23"
"Chir04Ox-b10500.23",1.052942e-88,1.418883,0.806,0.506,2.070084e-84,15,"Chir04Ox-b10500.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b10500.23"
"Chir04Ox-b17280.25",1.699726e-89,0.8777415,0.896,0.539,3.341662e-85,15,"Chir04Ox-b17280.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b17280.25"
"Chir07Ox-b26300.23",4.446981e-152,1.708338,0.932,0.55,8.742764e-148,15,"Chir07Ox-b26300.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b26300.23"
"Chir01Ox-b19320.22",6.973796e-107,1.01822,0.883,0.565,1.371048e-102,15,"Chir01Ox-b19320.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b19320.22"
"Chir03Ox-b32690.23",1.875116e-115,1.424509,0.885,0.567,3.686478e-111,15,"Chir03Ox-b32690.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b32690.23"
"Chir04Ox-b10440.26",1.033755e-72,1.271623,0.877,0.568,2.032363e-68,15,"Chir04Ox-b10440.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b10440.26"
"Chir04Ox-b19160.23",1.050161e-143,2.863011,0.904,0.57,2.064617e-139,15,"Chir04Ox-b19160.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b19160.23"
"Chir04Ox-b08240.25",4.414258e-59,0.7253468,0.918,0.596,8.678432e-55,15,"Chir04Ox-b08240.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b08240.25"
"Chir03Ox-b09250.24",1.297426e-108,2.692369,0.923,0.599,2.550739e-104,15,"Chir03Ox-b09250.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b09250.24"
